OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
78,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,7511.81015014648,416.126817534227
79,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,7293.37857055664,406.032737902566
80,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,7280.59365844727,371.370694734853
81,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,7241.01739501953,410.998170847674
82,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,6164.09368896484,798.818867959639
83,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,7064.45709228516,482.225305183563
84,CF,Community Facilities,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,S3,6684.17364501953,346.837912900774
85,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,6683.65356445313,440.928635837472
86,CF,Community Facilities,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,S3,6532.09429931641,504.963640466624
87,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,6474.11990356445,347.479106015516
88,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,6205.85339355469,410.423381449081
89,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,6017.66329956055,474.853047506333
90,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,6002.81182861328,321.80263429517
91,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5976.80178833008,394.88665356048
92,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5883.06448364258,533.024723809837
93,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5751.45227050781,319.666370880593
