OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
239,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,351.958221435547,78.033361865548
240,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,343.930511474609,93.1338577128988
241,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,337.444854736328,112.50628888139
242,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,337.201690673828,158.972799397204
243,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,335.116516113281,87.1948058597605
244,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,334.570343017578,96.3243558781103
245,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,331.195068359375,68.1497471176106
246,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,330.844940185547,167.255847488046
247,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,314.890045166016,72.6536715594018
248,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,300.863098144531,81.8109377032234
249,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,298.526580810547,108.653972310069
250,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,297.952423095703,158.181439944888
251,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,290.885406494141,79.2015197405868
252,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,290.358734130859,76.6767654300892
253,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,285.648895263672,88.935869297432
254,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,272.134399414063,71.5766776836402
255,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,261.625793457031,64.8122783417415
256,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,255.959289550781,65.6875817715325
257,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,245.975830078125,81.3958255042797
258,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,237.934417724609,84.6207331391377
259,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,230.972442626953,68.7257278799142
260,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,219.79150390625,111.614659134667
261,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,218.617797851563,67.477660184704
262,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,208.519317626953,82.4991106955425
263,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,206.483123779297,85.8200039684928
264,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,203.483520507813,58.9523548725943
265,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,202.203247070313,59.1618820618762
266,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,195.182342529297,70.7192986842565
267,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,195.001495361328,81.3264806996427
268,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,174.571685791016,76.4288989544452
269,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,152.170135498047,67.1161992885907
270,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,147.619689941406,51.4065097771778
271,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,140.505889892578,71.6535216261487
272,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,132.780364990234,57.3633580486093
273,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,122.056823730469,53.0488360021977
274,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,103.025726318359,57.9580659358048
275,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,96.2234497070313,48.3294040907786
276,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,91.7475280761719,60.9825428783689
277,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,65.2320251464844,41.0907843963192
278,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,53.6821899414063,26.0952478872013
279,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,25.2650451660156,20.8884348770809
280,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,24.1341857910156,20.0026165481304
281,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,16.02001953125,16.1700442926246
282,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,15.9738159179688,16.0222184030187
283,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,15.0720825195313,16.0037172672418
284,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,10.8871459960938,13.2005905524405
285,R,Residential (Phase 2),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,26772.8875427246,658.078204719137
286,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,1068.20294189453,372.664931058851
287,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,27044.7211303711,959.668707574995
288,R,Residential (Phase 1),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,31040.1500549316,856.762696996822
289,CF,Community Facilities,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,S3,55872.6681213379,1418.02381254953
290,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,6391.93426513672,494.263709956633
291,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,625154.686462402,14312.1180389845
292,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,1477.22485351563,305.464515988323
